Company Name,Website,Country,Industry,Contact Page,Company Services,Contact Form,Lead Quality,website_exists,contact_form,services_count,about_word_count,country_score,lead_quality_score
Fusion Informatics,https://www.fusioninformatics.com/,United States,AI Development,Yes,"Top AI, IoT Software, and Mobile App Development Company",Yes,High,1,1,9,56,3,3
47Billion,https://47billion.com/,United States,AI Development,Yes,"Enterprise Product Development, AI & Data Engineering Experts | 47Billion",Yes,High,1,1,10,73,3,3
SF AI Labs,https://sfailabs.com/,United States,AI Development,Yes,SF AI Labs | Top AI Consultants,Yes,High,1,1,7,31,3,3
Teksun Inc,https://teksun.com/,United States,AI Development,Yes,Product Engineering-Services-IoT-and-AI-Solutions-Company,Yes,High,1,1,2,57,3,3
Personal AI,https://personal.ai/,United States,AI Development,Yes,Personal AI | The Distributed Edge AI Platform,Yes,High,1,1,8,46,3,3
Inworld AI,https://inworld.ai/,United States,AI Development,Yes,Inworld AI – The #1 Ranked Realtime Voice AI,Yes,High,1,1,9,44,3,3
HEAVY AI,https://www.heavy.ai/,United States,AI Development,Yes,Website analysis pending,Yes,High,1,1,3,24,3,3
Hayden AI Technologies,http://www.hayden.ai/,United States,AI Development,Yes,Revolutionizing Problem-Solving with AI Hayden AI,Yes,High,1,1,6,49,3,3
H2O.ai,https://www.h2o.ai/,United States,AI Development,Yes,H2O.ai | Convergence of the World’s Best Predictive and Generative AI for Privat,Yes,High,1,1,13,80,3,3
Tara AI,https://tara.ai/,United States,AI Development,Yes,Technology company,No,High,1,0,2,18,3,3
Noble AI,http://noble.ai/,United States,AI Development,Yes,Home,Yes,High,1,1,1,4,3,3
Atomic AI,https://atomic.ai/,United States,AI Development,Yes,Atomic AI,No,High,1,0,2,9,3,3
Codiste,https://www.codiste.com/,United States,AI Development,Yes,Technology company,No,High,1,0,2,18,3,3
Xicom,https://www.xicom.biz/,United States,AI Development,Yes,Xicom | AI-First Digital Engineering & App Development Company,Yes,High,1,1,9,62,3,3
Think AI,https://thinkaicorp.com/,United States,AI Development,Yes,Azure & AI Consulting | Business Intelligence | Think AI Corporation,Yes,High,1,1,11,68,3,3
AIM Tech AI,https://www.aimtechai.com/,United States,AI Development,Yes,AIM Tech AI | Future-Ready Software & AI Development,Yes,High,1,1,9,52,3,3
Nod Inc,https://nod.ai/,United States,AI Development,Yes,AMD ׀ together we advance_AI,Yes,High,1,1,5,28,3,3
Fiddler AI,https://www.fiddler.ai/,United States,AI Development,Yes,Fiddler AI: AI Control Plane for Enterprise Agents | Observability & Security,Yes,High,1,1,12,77,3,3
Celestial AI,https://www.celestial.ai/,United States,AI Development,Yes,Accelerated Infrastructure for the AI Era,Yes,High,1,1,6,41,3,3
C3 AI,https://c3.ai/,United States,AI Development,Yes,Leading Enterprise AI Software Provider​ | C3 AI,Yes,High,1,1,8,48,3,3
AI Fund,https://aifund.ai/,United States,AI Development,Yes,Home - AI Fund,Yes,High,1,1,4,14,3,3
AI bees,https://www.ai-bees.io/,United States,AI Development,Yes,AI bees | B2B Marketing Powered by AI,Yes,High,1,1,8,37,3,3
Rejig.AI,https://rejig.ai/,United States,AI Development,Yes,Rejig.AI - Social Media Sidekick for Real Estate Agents | Rejig.AI,No,High,1,0,11,66,3,3
Ascendix Technologies,https://ascendix.com/,United States,SaaS,Yes,Ascendix Technologies: Salesforce Consulting & AI Development,Yes,High,1,1,7,61,3,3
AppSumo,http://appsumo.com/,United States,SaaS,Yes,AppSumo - Discover products. Stay weird. | AppSumo,No,High,1,0,8,50,3,3
SailPoint Technologies,https://www.sailpoint.com/,United States,SaaS,Yes,"The new era of adaptive identity - For humans, machines, AI",Yes,High,1,1,11,59,3,3
ePROMIS Solutions,https://www.epromis.com/,United States,SaaS,Yes,ePROMIS® Cloud | Construction Management Software | Construction ERP Cloud Softw,Yes,High,1,1,11,80,3,3
SaaS Consulting Group,http://www.saascg.com/,United States,SaaS,Yes,Empowering Business Excellence through Strategic Technology Solutions,Yes,High,1,1,7,69,3,3
